,Run,Model,Groups,Adapter method,Subject / Task
874,"mmlu:subject=computer_security,method=multiple_choice_joint,model=microsoft_phi-2",microsoft/phi-2,mmlu,multiple_choice_joint,computer_security
875,"mmlu:subject=computer_security,method=multiple_choice_joint,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,mmlu,multiple_choice_joint,computer_security
876,"mmlu:subject=econometrics,method=multiple_choice_joint,model=microsoft_phi-2",microsoft/phi-2,mmlu,multiple_choice_joint,econometrics
877,"mmlu:subject=econometrics,method=multiple_choice_joint,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,mmlu,multiple_choice_joint,econometrics
878,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=microsoft_phi-2",microsoft/phi-2,mmlu,multiple_choice_joint,us_foreign_policy
879,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,mmlu,multiple_choice_joint,us_foreign_policy
880,narrative_qa:model=microsoft_phi-2,microsoft/phi-2,narrative_qa,generation,-
881,narrative_qa:model=mistralai_mistral-medium-2312,mistralai/mistral-medium-2312,narrative_qa,generation,-
882,"natural_qa:mode=closedbook,model=microsoft_phi-2",microsoft/phi-2,natural_qa_closedbook,generation,-
883,"natural_qa:mode=closedbook,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,natural_qa_closedbook,generation,-
884,"natural_qa:mode=openbook_longans,model=microsoft_phi-2",microsoft/phi-2,natural_qa_openbook_longans,generation,-
885,"natural_qa:mode=openbook_longans,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,natural_qa_openbook_longans,generation,-
886,"wmt_14:language_pair=cs-en,model=microsoft_phi-2",microsoft/phi-2,wmt_14,generation,-
887,"wmt_14:language_pair=cs-en,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,wmt_14,generation,-
888,"wmt_14:language_pair=de-en,model=microsoft_phi-2",microsoft/phi-2,wmt_14,generation,-
889,"wmt_14:language_pair=de-en,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,wmt_14,generation,-
890,"wmt_14:language_pair=fr-en,model=microsoft_phi-2",microsoft/phi-2,wmt_14,generation,-
891,"wmt_14:language_pair=fr-en,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,wmt_14,generation,-
892,"wmt_14:language_pair=hi-en,model=microsoft_phi-2",microsoft/phi-2,wmt_14,generation,-
893,"wmt_14:language_pair=hi-en,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,wmt_14,generation,-
894,"wmt_14:language_pair=ru-en,model=microsoft_phi-2",microsoft/phi-2,wmt_14,generation,-
895,"wmt_14:language_pair=ru-en,model=mistralai_mistral-medium-2312",mistralai/mistral-medium-2312,wmt_14,generation,-
896,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=allenai_olmo-7b",allenai/olmo-7b,openbookqa,multiple_choice_joint,-
897,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=google_gemma-7b",google/gemma-7b,openbookqa,multiple_choice_joint,-
898,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=meta_llama-3-70b",meta/llama-3-70b,openbookqa,multiple_choice_joint,-
899,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=meta_llama-3-8b",meta/llama-3-8b,openbookqa,multiple_choice_joint,-
900,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=mistralai_mixtral-8x22b",mistralai/mixtral-8x22b,openbookqa,multiple_choice_joint,-
901,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=qwen_qwen1.5-14b",qwen/qwen1.5-14b,openbookqa,multiple_choice_joint,-
902,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=qwen_qwen1.5-32b",qwen/qwen1.5-32b,openbookqa,multiple_choice_joint,-
903,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=qwen_qwen1.5-72b",qwen/qwen1.5-72b,openbookqa,multiple_choice_joint,-
904,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=qwen_qwen1.5-7b",qwen/qwen1.5-7b,openbookqa,multiple_choice_joint,-
905,gsm:model=allenai_olmo-7b,allenai/olmo-7b,gsm,generation,-
906,gsm:model=google_gemma-7b,google/gemma-7b,gsm,generation,-
907,gsm:model=meta_llama-3-70b,meta/llama-3-70b,gsm,generation,-
908,gsm:model=meta_llama-3-8b,meta/llama-3-8b,gsm,generation,-
909,gsm:model=mistralai_mixtral-8x22b,mistralai/mixtral-8x22b,gsm,generation,-
910,gsm:model=qwen_qwen1.5-14b,qwen/qwen1.5-14b,gsm,generation,-
911,gsm:model=qwen_qwen1.5-32b,qwen/qwen1.5-32b,gsm,generation,-
912,gsm:model=qwen_qwen1.5-72b,qwen/qwen1.5-72b,gsm,generation,-
913,gsm:model=qwen_qwen1.5-7b,qwen/qwen1.5-7b,gsm,generation,-
914,"legalbench:subset=abercrombie,model=allenai_olmo-7b",allenai/olmo-7b,legalbench,generation,-
915,"legalbench:subset=abercrombie,model=google_gemma-7b",google/gemma-7b,legalbench,generation,-
916,"legalbench:subset=abercrombie,model=meta_llama-3-70b",meta/llama-3-70b,legalbench,generation,-
917,"legalbench:subset=abercrombie,model=meta_llama-3-8b",meta/llama-3-8b,legalbench,generation,-
918,"legalbench:subset=abercrombie,model=mistralai_mixtral-8x22b",mistralai/mixtral-8x22b,legalbench,generation,-
919,"legalbench:subset=abercrombie,model=qwen_qwen1.5-14b",qwen/qwen1.5-14b,legalbench,generation,-
920,"legalbench:subset=abercrombie,model=qwen_qwen1.5-32b",qwen/qwen1.5-32b,legalbench,generation,-
921,"legalbench:subset=abercrombie,model=qwen_qwen1.5-72b",qwen/qwen1.5-72b,legalbench,generation,-
922,"legalbench:subset=abercrombie,model=qwen_qwen1.5-7b",qwen/qwen1.5-7b,legalbench,generation,-
923,"legalbench:subset=corporate_lobbying,model=allenai_olmo-7b",allenai/olmo-7b,legalbench,generation,-
924,"legalbench:subset=corporate_lobbying,model=google_gemma-7b",google/gemma-7b,legalbench,generation,-
925,"legalbench:subset=corporate_lobbying,model=meta_llama-3-70b",meta/llama-3-70b,legalbench,generation,-
926,"legalbench:subset=corporate_lobbying,model=meta_llama-3-8b",meta/llama-3-8b,legalbench,generation,-
927,"legalbench:subset=corporate_lobbying,model=mistralai_mixtral-8x22b",mistralai/mixtral-8x22b,legalbench,generation,-
928,"legalbench:subset=corporate_lobbying,model=qwen_qwen1.5-14b",qwen/qwen1.5-14b,legalbench,generation,-
929,"legalbench:subset=corporate_lobbying,model=qwen_qwen1.5-32b",qwen/qwen1.5-32b,legalbench,generation,-
930,"legalbench:subset=corporate_lobbying,model=qwen_qwen1.5-72b",qwen/qwen1.5-72b,legalbench,generation,-
931,"legalbench:subset=corporate_lobbying,model=qwen_qwen1.5-7b",qwen/qwen1.5-7b,legalbench,generation,-
932,"legalbench:subset=function_of_decision_section,model=allenai_olmo-7b",allenai/olmo-7b,legalbench,generation,-
933,"legalbench:subset=function_of_decision_section,model=google_gemma-7b",google/gemma-7b,legalbench,generation,-
934,"legalbench:subset=function_of_decision_section,model=meta_llama-3-70b",meta/llama-3-70b,legalbench,generation,-
935,"legalbench:subset=function_of_decision_section,model=meta_llama-3-8b",meta/llama-3-8b,legalbench,generation,-
936,"legalbench:subset=function_of_decision_section,model=mistralai_mixtral-8x22b",mistralai/mixtral-8x22b,legalbench,generation,-
937,"legalbench:subset=function_of_decision_section,model=qwen_qwen1.5-14b",qwen/qwen1.5-14b,legalbench,generation,-
938,"legalbench:subset=function_of_decision_section,model=qwen_qwen1.5-32b",qwen/qwen1.5-32b,legalbench,generation,-
939,"legalbench:subset=function_of_decision_section,model=qwen_qwen1.5-72b",qwen/qwen1.5-72b,legalbench,generation,-
940,"legalbench:subset=function_of_decision_section,model=qwen_qwen1.5-7b",qwen/qwen1.5-7b,legalbench,generation,-
941,"legalbench:subset=international_citizenship_questions,model=allenai_olmo-7b",allenai/olmo-7b,legalbench,generation,-
942,"legalbench:subset=international_citizenship_questions,model=google_gemma-7b",google/gemma-7b,legalbench,generation,-
943,"legalbench:subset=international_citizenship_questions,model=meta_llama-3-70b",meta/llama-3-70b,legalbench,generation,-
944,"legalbench:subset=international_citizenship_questions,model=meta_llama-3-8b",meta/llama-3-8b,legalbench,generation,-
945,"legalbench:subset=international_citizenship_questions,model=mistralai_mixtral-8x22b",mistralai/mixtral-8x22b,legalbench,generation,-
946,"legalbench:subset=international_citizenship_questions,model=qwen_qwen1.5-14b",qwen/qwen1.5-14b,legalbench,generation,-
947,"legalbench:subset=international_citizenship_questions,model=qwen_qwen1.5-32b",qwen/qwen1.5-32b,legalbench,generation,-
948,"legalbench:subset=international_citizenship_questions,model=qwen_qwen1.5-72b",qwen/qwen1.5-72b,legalbench,generation,-
949,"legalbench:subset=international_citizenship_questions,model=qwen_qwen1.5-7b",qwen/qwen1.5-7b,legalbench,generation,-
950,"legalbench:subset=proa,model=allenai_olmo-7b",allenai/olmo-7b,legalbench,generation,-
951,"legalbench:subset=proa,model=google_gemma-7b",google/gemma-7b,legalbench,generation,-
952,"legalbench:subset=proa,model=meta_llama-3-70b",meta/llama-3-70b,legalbench,generation,-
953,"legalbench:subset=proa,model=meta_llama-3-8b",meta/llama-3-8b,legalbench,generation,-
954,"legalbench:subset=proa,model=mistralai_mixtral-8x22b",mistralai/mixtral-8x22b,legalbench,generation,-
955,"legalbench:subset=proa,model=qwen_qwen1.5-14b",qwen/qwen1.5-14b,legalbench,generation,-
956,"legalbench:subset=proa,model=qwen_qwen1.5-32b",qwen/qwen1.5-32b,legalbench,generation,-
957,"legalbench:subset=proa,model=qwen_qwen1.5-72b",qwen/qwen1.5-72b,legalbench,generation,-
958,"legalbench:subset=proa,model=qwen_qwen1.5-7b",qwen/qwen1.5-7b,legalbench,generation,-
959,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=allenai_olmo-7b",allenai/olmo-7b,math_chain_of_thought,generation,algebra
960,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemma-7b",google/gemma-7b,math_chain_of_thought,generation,algebra
961,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3-70b",meta/llama-3-70b,math_chain_of_thought,generation,algebra
962,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3-8b",meta/llama-3-8b,math_chain_of_thought,generation,algebra
963,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mixtral-8x22b",mistralai/mixtral-8x22b,math_chain_of_thought,generation,algebra
964,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-14b",qwen/qwen1.5-14b,math_chain_of_thought,generation,algebra
965,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-32b",qwen/qwen1.5-32b,math_chain_of_thought,generation,algebra
966,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-72b",qwen/qwen1.5-72b,math_chain_of_thought,generation,algebra
967,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-7b",qwen/qwen1.5-7b,math_chain_of_thought,generation,algebra
968,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=allenai_olmo-7b",allenai/olmo-7b,math_chain_of_thought,generation,counting_and_probability
969,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemma-7b",google/gemma-7b,math_chain_of_thought,generation,counting_and_probability
970,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3-70b",meta/llama-3-70b,math_chain_of_thought,generation,counting_and_probability
971,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3-8b",meta/llama-3-8b,math_chain_of_thought,generation,counting_and_probability
972,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mixtral-8x22b",mistralai/mixtral-8x22b,math_chain_of_thought,generation,counting_and_probability
973,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-14b",qwen/qwen1.5-14b,math_chain_of_thought,generation,counting_and_probability
974,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-32b",qwen/qwen1.5-32b,math_chain_of_thought,generation,counting_and_probability
975,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-72b",qwen/qwen1.5-72b,math_chain_of_thought,generation,counting_and_probability
976,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-7b",qwen/qwen1.5-7b,math_chain_of_thought,generation,counting_and_probability
977,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=allenai_olmo-7b",allenai/olmo-7b,math_chain_of_thought,generation,geometry
978,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemma-7b",google/gemma-7b,math_chain_of_thought,generation,geometry
979,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3-70b",meta/llama-3-70b,math_chain_of_thought,generation,geometry
980,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3-8b",meta/llama-3-8b,math_chain_of_thought,generation,geometry
981,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mixtral-8x22b",mistralai/mixtral-8x22b,math_chain_of_thought,generation,geometry
982,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-14b",qwen/qwen1.5-14b,math_chain_of_thought,generation,geometry
983,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-32b",qwen/qwen1.5-32b,math_chain_of_thought,generation,geometry
984,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-72b",qwen/qwen1.5-72b,math_chain_of_thought,generation,geometry
985,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-7b",qwen/qwen1.5-7b,math_chain_of_thought,generation,geometry
986,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=allenai_olmo-7b",allenai/olmo-7b,math_chain_of_thought,generation,intermediate_algebra
987,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemma-7b",google/gemma-7b,math_chain_of_thought,generation,intermediate_algebra
988,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3-70b",meta/llama-3-70b,math_chain_of_thought,generation,intermediate_algebra
989,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3-8b",meta/llama-3-8b,math_chain_of_thought,generation,intermediate_algebra
990,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mixtral-8x22b",mistralai/mixtral-8x22b,math_chain_of_thought,generation,intermediate_algebra
991,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-14b",qwen/qwen1.5-14b,math_chain_of_thought,generation,intermediate_algebra
992,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-32b",qwen/qwen1.5-32b,math_chain_of_thought,generation,intermediate_algebra
993,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-72b",qwen/qwen1.5-72b,math_chain_of_thought,generation,intermediate_algebra
994,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-7b",qwen/qwen1.5-7b,math_chain_of_thought,generation,intermediate_algebra
995,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=allenai_olmo-7b",allenai/olmo-7b,math_chain_of_thought,generation,number_theory
996,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemma-7b",google/gemma-7b,math_chain_of_thought,generation,number_theory
997,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3-70b",meta/llama-3-70b,math_chain_of_thought,generation,number_theory
998,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3-8b",meta/llama-3-8b,math_chain_of_thought,generation,number_theory
999,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mixtral-8x22b",mistralai/mixtral-8x22b,math_chain_of_thought,generation,number_theory
1000,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-14b",qwen/qwen1.5-14b,math_chain_of_thought,generation,number_theory
1001,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-32b",qwen/qwen1.5-32b,math_chain_of_thought,generation,number_theory
1002,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-72b",qwen/qwen1.5-72b,math_chain_of_thought,generation,number_theory
1003,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-7b",qwen/qwen1.5-7b,math_chain_of_thought,generation,number_theory
1004,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=allenai_olmo-7b",allenai/olmo-7b,math_chain_of_thought,generation,prealgebra
1005,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemma-7b",google/gemma-7b,math_chain_of_thought,generation,prealgebra
1006,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3-70b",meta/llama-3-70b,math_chain_of_thought,generation,prealgebra
1007,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-3-8b",meta/llama-3-8b,math_chain_of_thought,generation,prealgebra
1008,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mixtral-8x22b",mistralai/mixtral-8x22b,math_chain_of_thought,generation,prealgebra
1009,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=qwen_qwen1.5-14b",qwen/qwen1.5-14b,math_chain_of_thought,generation,prealgebra
